slug,nom,nationalite,poste,statut,club,ligue,pays_club,ville_club,continent,est_etranger
romain-quatrevaux,Romain  Quatrevaux,France,Goalkeeper,active,Draguignan Var Handball,Nationale 1 - Group 4 (France),France,Draguignan,Europe,FALSE
gauthier-bonnissol,Gauthier  Bonnissol,France,Centre Back,active,Draguignan Var Handball,Nationale 1 - Group 4 (France),France,Draguignan,Europe,FALSE
benediktas-pakalniskis,Benediktas  Pakalniškis,Lithuania,Goalkeeper,active,Dragūnas Klaipėda,Lietuvos Rankinio Lyga (Lithuania),Lithuania,Klaipėda,Europe,FALSE
reinartas-pasilis,Reinartas Pasilis,Lithuania,Goalkeeper,active,Dragūnas Klaipėda,Lietuvos Rankinio Lyga (Lithuania),Lithuania,Klaipėda,Europe,FALSE
ion-saharnean,Ion Saharnean,Moldova,Goalkeeper,active,Dragūnas Klaipėda,Lietuvos Rankinio Lyga (Lithuania),Lithuania,Klaipėda,Europe,TRUE
laurynas-simonavicius,Laurynas  Simonavičius,Lithuania,Left Wing,active,Dragūnas Klaipėda,Lietuvos Rankinio Lyga (Lithuania),Lithuania,Klaipėda,Europe,FALSE
paulius-cesna,Paulius Cesna,Lithuania,Left Wing,active,Dragūnas Klaipėda,Lietuvos Rankinio Lyga (Lithuania),Lithuania,Klaipėda,Europe,FALSE
filip-hrnjak,Filip Hrnjak,Serbia,Right Wing,active,Dragūnas Klaipėda,Lietuvos Rankinio Lyga (Lithuania),Lithuania,Klaipėda,Europe,TRUE
arvydas-bucius,Arvydas  Bučius,Lithuania,Line Player,active,Dragūnas Klaipėda,Lietuvos Rankinio Lyga (Lithuania),Lithuania,Klaipėda,Europe,FALSE
benas-butkus,Benas  Butkus,Lithuania,Line Player,active,Dragūnas Klaipėda,Lietuvos Rankinio Lyga (Lithuania),Lithuania,Klaipėda,Europe,FALSE
vilius-dirgela,Vilius Dirgela,Lithuania,Line Player,active,Dragūnas Klaipėda,Lietuvos Rankinio Lyga (Lithuania),Lithuania,Klaipėda,Europe,FALSE
emmanuel-ferreira-paiva,Emmanuel Ferreira Paiva,Brazil,Line Player,active,Dragūnas Klaipėda,Lietuvos Rankinio Lyga (Lithuania),Lithuania,Klaipėda,Hors-Europe,TRUE
daniil-plahotin,Daniil  Plahotin,Ukraine,Left Back,active,Dragūnas Klaipėda,Lietuvos Rankinio Lyga (Lithuania),Lithuania,Klaipėda,Europe,TRUE
matas-kairys,Matas Kairys,Lithuania,Left Back,active,Dragūnas Klaipėda,Lietuvos Rankinio Lyga (Lithuania),Lithuania,Klaipėda,Europe,FALSE
karolis-stropus,Karolis Stropus,Lithuania,Left Back,active,Dragūnas Klaipėda,Lietuvos Rankinio Lyga (Lithuania),Lithuania,Klaipėda,Europe,FALSE
arturas-budraitis,Arturas Budraitis,Lithuania,Left Back,active,Dragūnas Klaipėda,Lietuvos Rankinio Lyga (Lithuania),Lithuania,Klaipėda,Europe,FALSE
deividas-virbauskas,Deividas  Virbauskas,Lithuania,Centre Back,active,Dragūnas Klaipėda,Lietuvos Rankinio Lyga (Lithuania),Lithuania,Klaipėda,Europe,FALSE
lukas-juskenas,Lukas Juškėnas,Lithuania,Centre Back,active,Dragūnas Klaipėda,Lietuvos Rankinio Lyga (Lithuania),Lithuania,Klaipėda,Europe,FALSE
tomas-draksas,Tomas Draksas,Ukraine,Centre Back,active,Dragūnas Klaipėda,Lietuvos Rankinio Lyga (Lithuania),Lithuania,Klaipėda,Europe,TRUE
gustas-buzius,Gustas Buzius,Lithuania,Centre Back,active,Dragūnas Klaipėda,Lietuvos Rankinio Lyga (Lithuania),Lithuania,Klaipėda,Europe,FALSE
vasyl-havryliuk,Vasyl Havryliuk,Ukraine,Right Back,active,Dragūnas Klaipėda,Lietuvos Rankinio Lyga (Lithuania),Lithuania,Klaipėda,Europe,TRUE
lars-weisgerber,Lars  Weisgerber,Germany,Right Wing,active,HG Saarlouis,3.  - South West (Germany),Germany,Saarlouis,Europe,FALSE
marius-mocanu,Marius  Mocanu,Romania,Line Player,active,CSM Alexandria,Divizia A - Group B (Romania),Romania,Alexandria,Europe,FALSE
rome-antonio-diogo-hebo,Romé Antonio  Diogo Hebo,Angola,Centre Back,active,CSM Alexandria,Divizia A - Group B (Romania),Romania,Alexandria,Hors-Europe,TRUE
stefan-hristoski,Stefan Hristoski,Macedonia,Goalkeeper,active,RK Prilep 2010,Macedonian Super Liga (North Macedonia),Macedonia,Prilep,Europe,FALSE
dimitar-dimitrioski,Dimitar  Dimitrioski,Macedonia,Left Wing,active,RK Prilep 2010,Macedonian Super Liga (North Macedonia),Macedonia,Prilep,Europe,FALSE
tomislav-kvastek,Tomislav  Kvastek,Croatia,Line Player,active,RK Prilep 2010,Macedonian Super Liga (North Macedonia),Macedonia,Prilep,Europe,TRUE
bozidar-lekovic,Bozidar Lekovic,Montenegro,Left Back,active,RK Prilep 2010,Macedonian Super Liga (North Macedonia),Macedonia,Prilep,Europe,TRUE
lukas-ueland,Lukas Ueland,Norway,Goalkeeper,active,Ryger Stavanger,Norway 1. Division (Norway),Norway,Stavanger,Europe,FALSE
jon-aksel-bruun-nygard,Jon Aksel Bruun-Nygard,Norway,Goalkeeper,active,Ryger Stavanger,Norway 1. Division (Norway),Norway,Stavanger,Europe,FALSE
sindre-johannessen,Sindre  Johannessen,Norway,Left Wing,active,Ryger Stavanger,Norway 1. Division (Norway),Norway,Stavanger,Europe,FALSE
simen-revheim-gleditsch,Simen  Revheim Gleditsch,Norway,Left Wing,active,Ryger Stavanger,Norway 1. Division (Norway),Norway,Stavanger,Europe,FALSE
wille-john-torvald-magnusson,Wille John Torvald Magnusson,Norway,Right Wing,active,Ryger Stavanger,Norway 1. Division (Norway),Norway,Stavanger,Europe,FALSE
filiph-manfred-tilge,Filiph Manfred Tilge,Norway,Line Player,active,Ryger Stavanger,Norway 1. Division (Norway),Norway,Stavanger,Europe,FALSE
trym-hamre-johannessen,Trym Hamre Johannessen,Norway,Line Player,active,Ryger Stavanger,Norway 1. Division (Norway),Norway,Stavanger,Europe,FALSE
gaston-jean-marie-denichou,Gaston  Jean-Marie Denichou,Norway,Line Player,active,Ryger Stavanger,Norway 1. Division (Norway),Norway,Stavanger,Europe,FALSE
emil-djupvik-jahr,Emil  Djupvik Jahr,Norway,Left Back,active,Ryger Stavanger,Norway 1. Division (Norway),Norway,Stavanger,Europe,FALSE
theodor-haugland-kvernenes,Theodor Haugland Kvernenes,Norway,Left Back,active,Ryger Stavanger,Norway 1. Division (Norway),Norway,Stavanger,Europe,FALSE
arni-bergur-sigurbergsson,Arni Bergur Sigurbergsson,Norway,Centre Back,active,Ryger Stavanger,Norway 1. Division (Norway),Norway,Stavanger,Europe,FALSE
eivind-francke-husebo,Eivind  Francke Husebo,Norway,Centre Back,active,Ryger Stavanger,Norway 1. Division (Norway),Norway,Stavanger,Europe,FALSE
sune-ruud,Sune  Ruud,Norway,Centre Back,active,Ryger Stavanger,Norway 1. Division (Norway),Norway,Stavanger,Europe,FALSE
jesper-gustavson-grytten,Jesper  Gustavson Grytten,Norway,Right Back,active,Ryger Stavanger,Norway 1. Division (Norway),Norway,Stavanger,Europe,FALSE
mathias-fagerheim,Mathias  Fagerheim,Norway,Right Back,active,Ryger Stavanger,Norway 1. Division (Norway),Norway,Stavanger,Europe,FALSE
niklas-tingvik,Niklas  Tingvik,Norway,Right Back,active,Ryger Stavanger,Norway 1. Division (Norway),Norway,Stavanger,Europe,FALSE
martin-ogaard-helgesen,Martin  Ogaard Helgesen,Norway,Back,active,Ryger Stavanger,Norway 1. Division (Norway),Norway,Stavanger,Europe,FALSE
jupei-takai,Jupei  Takai,Japan,Goalkeeper,active,Ryukyu Corazon,JHL (Japan),Japan,Okinawa,Hors-Europe,FALSE
kakeru-shimabukuro,Kakeru Shimabukuro,Japan,Goalkeeper,active,Ryukyu Corazon,JHL (Japan),Japan,Okinawa,Hors-Europe,FALSE
genta-iguchi,Genta  Iguchi,Japan,Left Wing,active,Ryukyu Corazon,JHL (Japan),Japan,Okinawa,Hors-Europe,FALSE
yuta-miyagi,Yuta  Miyagi,Japan,Left Wing,active,Ryukyu Corazon,JHL (Japan),Japan,Okinawa,Hors-Europe,FALSE
shingo-higa,Shingo  Higa,Japan,Right Wing,active,Ryukyu Corazon,JHL (Japan),Japan,Okinawa,Hors-Europe,FALSE
tomoki-nakagawa,Tomoki  Nakagawa,Japan,Line Player,active,Ryukyu Corazon,JHL (Japan),Japan,Okinawa,Hors-Europe,FALSE
tsubasa-takahashi,Tsubasa Takahashi,Japan,Line Player,active,Ryukyu Corazon,JHL (Japan),Japan,Okinawa,Hors-Europe,FALSE
izuru-ishikawa,Izuru  Ishikawa,Japan,Left Back,active,Ryukyu Corazon,JHL (Japan),Japan,Okinawa,Hors-Europe,FALSE
